HDZ,SDP,MOST,Možemo!,DP,Policy,Ideological,Scandal,Impact,id,url,title,date
1,-1,NO,NO,NO,0,1,0,4,12901798,https://www.jutarnji.hr/vijesti/hrvatska/hdz-se-obrusio-na-grbina-abdicirao-je-s-mjesta-predsjednika-sdp-a-pobjegao-iz-i-izborne-jedinice-15448583,"HDZ se obrušio na Grbina: ‘Abdicirao je s mjesta predsjednika SDP-a, pobjegao iz I. izborne jedinice...‘",2024-04-10
-1,NO,NO,NO,NO,0,1,1,7,12903478,https://www.jutarnji.hr/vijesti/hrvatska/milanovic-se-ponovno-oglasio-plenkovicu-tko-je-organizirao-pljacku-plina-ti-znas-a-trebalo-bi-zanimati-i-dorh-15448658,"Milanović se ponovno oglasio: ‘Plenkoviću, tko je organizirao pljačku plina? Ti znaš, a trebalo bi zanimati i DORH‘",2024-04-10
-1,NO,NO,NO,NO,0,1,1,8,12902335,https://www.jutarnji.hr/vijesti/hrvatska/milanovic-svatko-zna-bar-jednog-hdz-ovca-koji-je-nesto-ukrao-oprat-cemo-ovu-ustajalu-smrdljivu-plenkovicevu-mocvaru-15448593,Milanović: ‘Svatko zna bar jednog HDZ-ovca koji je nešto ukrao. Oprat ćemo ovu ustajalu smrdljivu Plenkovićevu močvaru!‘,2024-04-10
0,0,1,0,NO,1,0,0,3,12900430,https://www.jutarnji.hr/vijesti/hrvatska/selak-raspudic-dobro-se-snasla-na-vjezbalistu-hoce-li-most-podrzati-milanovica-tu-je-drugo-pitanje-vaznije-15448523,Selak Raspudić dobro se snašla na vježbalištu: ‘Hoće li Most podržati Milanovića? Tu je drugo pitanje važnije...‘,2024-04-10
1,-1,NO,NO,NO,0,1,0,3,12902295,https://www.vecernji.hr/vijesti/hdz-ismijao-grbinov-poziv-na-suceljavanje-neka-se-u-sdp-u-radije-dogovore-tko-im-je-premijerski-kandidat-1760558,HDZ ismijao Grbinov poziv na sučeljavanje: 'Neka se u SDP-u radije dogovore tko im je premijerski kandidat',2024-04-10
1,-1,NO,NO,NO,0,1,0,4,12902344,https://www.index.hr/vijesti/clanak/hdz-na-fejsu-milanovic-se-prepao/2555133.aspx,HDZ na Fejsu: Peđa je abdicirao,2024-04-10
-1,1,NO,NO,NO,0,1,0,6,12902341,https://www.index.hr/vijesti/clanak/milanovic-rimac-banozic-butkovic-zalac-tolusic-horvat-aladrovic-kuscevic/2555126.aspx,"Milanović: Rimac, Banožić, Butković, Žalac, Tolušić, Horvat, Aladrović, Kuščević...",2024-04-10
1,-1,NO,NO,NO,1,0,0,5,12902768,https://www.index.hr/vijesti/clanak/njonjo-napao-milanovica-i-sdp-kostat-ce-ih-to-na-izborima/2555141.aspx,"Njonjo napao Milanovića i SDP: ""Koštat će ih to na izborima""",2024-04-10
0,NO,1,NO,0,1,1,0,4,12901828,https://www.index.hr/vijesti/clanak/uzivo-selak-raspudic-u-index-studiju-zekanovic-je-ubaceni-provokator-u-saboru/2555092.aspx,UŽIVO Selak Raspudić: HDZ je toliko korumpiran da se ne govori koliko su nesposobni,2024-04-10
0,0,1,0,0,1,1,0,4,12902338,https://www.index.hr/vijesti/clanak/video-selak-raspudic-u-index-studiju-zekanovic-je-ubaceni-provokator-u-saboru/2555092.aspx,VIDEO Selak Raspudić u Index Studiju: Zekanović je ubačeni provokator u Saboru,2024-04-10
-1,1,NO,NO,NO,0,1,1,7,12902511,https://www.24sata.hr/news/milanovic-opet-opleo-oprat-cemo-ovu-ustajalu-smrdljivu-plenkovicevu-mocvaru-975940,Milanović opet opleo: Oprat ćemo ovu ustajalu smrdljivu Plenkovićevu močvaru!,2024-04-10
NO,-1,NO,NO,NO,0,0,1,3,12901292,https://dnevnik.hr/vijesti/hrvatska/oleg-butkovic-objavio-video-s-kako-tvrdi-dokazom-da-je-zoran-milanovic-lazljivac---842367.html,"Butković objavio video o Milanoviću: ""Zahvaljujući članu tvoje stranke razotkriven si kao najobičniji lažljivac""",2024-04-10
1,-1,NO,NO,NO,0,1,0,4,12901850,https://dnevnik.hr/vijesti/hrvatska/hdz-je-preko-facebooka-prozvao-pedju-grbina-kako-je-abdicirao-a-sada-se-hoce-suceljavati---842381.html,"HDZ prozvao Grbina: ""Abdicirao je, a sada se hoće sučeljavati""",2024-04-10
-1,NO,NO,NO,NO,0,1,1,7,12902287,https://dnevnik.hr/vijesti/hrvatska/milanovic-se-oglasio-na-facebooku-i-poslao-jasnu-poruku-o-korupciji---842395.html,"Milanović: “Rijeke pravde dolaze, oprat će ovu ustajalu smrdljivu Plenkovićevu močvaru“",2024-04-10
0,NO,1,NO,NO,1,1,0,5,12901826,https://www.index.hr/vijesti/clanak/grmoja-most-i-hrvatski-suverenisti-u-3-izbornoj-jedinici-idu-po-dva-mandata/2555124.aspx,Grmoja: Most i Hrvatski suverenisti u 3. izbornoj jedinici idu po dva mandata,2024-04-10
1,-1,-1,NO,NO,1,0,1,5,12890473,https://www.vecernji.hr/vijesti/plenkovic-sramota-je-da-imamo-neustavno-uplitanje-u-izbore-nekoga-tko-je-uskoro-bivsi-predsjednik-1760407,Plenković: Sramota je da imamo neustavno uplitanje u izbore nekoga tko je uskoro bivši predsjednik,2024-04-09
1,0,0,0,0,1,0,0,3,12886075,https://www.vecernji.hr/vijesti/uskoro-uzivo-pratite-veliko-suceljavanje-u-nas-studio-stizu-grlic-radman-glavasevic-raspudic-dolenec-i-josic-1760262,"USKORO UŽIVO Pratite veliko sučeljavanje: U naš studio stižu Grlić Radman, Glavašević, Raspudić, Dolenec i Josić",2024-04-09
-1,NO,NO,NO,NO,0,0,1,3,12888605,https://www.vecernji.hr/vijesti/video-butkovic-objavio-video-s-kravom-nece-meni-tebe-nitko-uzet-ni-zoran-ni-rodak-1760343,VIDEO Butković objavio video s kravom: 'Neće meni tebe nitko uzeti. Ni Zoran ni rođak',2024-04-09
1,NO,NO,NO,NO,0,0,1,4,12903947,https://www.24sata.hr/news/dok-se-milanovic-prepucava-s-butkovicem-plenkovic-uziva-u-predizbornom-miru-i-samohvali-975963,"Dok se Milanović prepucava s Butkovićem, Plenković uživa u predizbornom miru i samohvali",2024-04-10
-1,1,NO,NO,NO,1,0,0,7,12903942,https://www.24sata.hr/news/grbin-na-ovim-izborima-odlucujemo-kako-cemo-zivjeti-sljedece-cetiri-godine-975967,Grbin: 'Na ovim izborima odlučujemo kako ćemo živjeti sljedeće četiri godine...',2024-04-10
1,0,0,-1,0,1,1,0,4,12888139,https://www.vecernji.hr/vijesti/izborne-jedinice-prekrojene-ali-broj-osvojenih-mandata-ostaje-podjednak-1760266,"Izborne jedinice prekrojene, ali broj osvojenih mandata ostaje podjednak",2024-04-09
-1,1,NO,NO,NO,1,0,0,6,12891792,https://www.vecernji.hr/vijesti/milanovic-se-oglasio-imamo-problem-sacica-uzurpatora-u-svakom-smislu-oduzima-nam-buducnost-1760430,Milanović se oglasio: Imamo problem! Šačica uzurpatora u svakom smislu oduzima nam budućnost,2024-04-09
-1,NO,NO,NO,NO,1,0,1,6,12887592,https://www.vecernji.hr/vijesti/milanovic-butkovic-je-iduci-predsjednik-hdz-a-mora-imati-rusko-ime-oni-mrze-rusi-ali-su-ustvari-svi-rusi-1760319,"Milanović: 'Butković je idući predsjednik HDZ-a. Mora imati rusko ime. Oni mrze Rusi, ali su ustvari svi Rusi'",2024-04-09
