"",HDZ,SDP,MOST,Možemo!,DP,Policy,Ideological,Scandal,Impact,id,url,title,date
0,1,NO,NO,NO,NO,1,0,0,5,12593629,https://www.24sata.hr/news/plenkovic-za-dva-i-pol-mjeseca-stize-prvih-sest-visenamjenskih-borbenih-aviona-4-generacije-967924,Plenković otkrio kad stiže šest borbenih aviona. Šeks: 'Mračne sile su se okupile da sruše HDZ',2024-02-28
1,0,0,NO,NO,NO,0,1,0,3,12590017,https://www.24sata.hr/news/plenkovica-na-desnici-ipak-dozivljavaju-kao-janjicara-967699,Plenkovića na desnici ipak doživljavaju kao janjičara,2024-02-28
2,NO,0,NO,NO,NO,0,0,1,3,12606230,https://www.24sata.hr/news/prije-3-god-umro-je-bandic-spomenik-jos-nije-dobio-iza-njega-ostale-su-brojne-afere-967755,"Tri godine od Bandićeve smrti: Još nema spomenik, iza njega je ostala hrpetina afera i skandala",2024-02-28
3,-1,NO,1,NO,0,1,0,0,5,12630889,https://www.24sata.hr/news/grmoja-hdz-nije-na-razini-na-kakvoj-je-bio-u-koroni-je-beros-bio-heroj-a-ljudi-u-strahu-968120,"Grmoja: 'HDZ nije na razini na kakvoj je bio. U koroni je Beroš bio heroj, a ljudi u strahu...'",2024-02-29
4,NO,0,NO,NO,NO,0,1,1,3,12600593,https://www.24sata.hr/news/tko-je-uhiceni-hrvoje-vojkovic-spetljao-se-s-unukom-tudmana-stan-prodao-zoranu-milanovicu-968001,"Tko je uhićeni Hrvoje Vojković? Radio s Tuđmanovim unukom, stan prodao Zoranu Milanoviću",2024-02-29
5,1,NO,NO,NO,NO,1,0,0,5,12583121,https://www.24sata.hr/news/dosad-se-govorilo-da-samo-hdz-moze-pobijediti-hdz-kolike-su-sanse-da-oporba-to-promijeni-967348,Dosad se govorilo da samo HDZ može pobijediti HDZ. Kolike su šanse da oporba to promijeni?,2024-02-26
6,-1,NO,1,NO,NO,1,0,1,6,12589916,https://www.24sata.hr/news/grmoja-steze-se-obruc-oko-obuljen-korzinek-past-ce-njeni-suradnici-a-onda-ce-i-plenkovic-967622,"Grmoja: 'Steže se obruč oko Obuljen Koržinek. Past će njeni suradnici, a onda će i Plenković'",2024-02-27
7,NO,NO,NO,NO,NO,0,0,1,4,12586054,https://www.24sata.hr/news/nova-teorija-iz-izvora-u-hdz-zasto-se-inzistiralo-na-turudicu-i-tko-je-osoba-x-koja-ga-gura-966530,Nova teorija iz izvora u HDZ: Zašto se inzistiralo na Turudiću i tko je osoba X koja ga gura?,2024-02-27
8,1,NO,NO,NO,NO,1,0,0,3,12586698,https://www.24sata.hr/news/premijer-daje-izjavu-za-medije-967646,"Plenković: 'Milanović nastavlja halucinirajuću politiku, izmišlja da sam ja opasnih namjera...'",2024-02-27
9,NO,NO,NO,NO,NO,0,0,1,2,12587003,https://www.24sata.hr/news/politicke-stranke-pune-k-o-brod-evo-koliko-su-lani-zaradili-hns-domovinski-pokret-fokus-i-glas-967663,"Političke stranke pune k'o brod: Evo koliko su lani zaradili HNS, Domovinski pokret, Fokus i Glas",2024-02-27
