HDZ,SDP,MOST,Možemo!,DP,Policy,Ideological,Scandal,Impact,id,url,title,date
-1,NO,1,NO,NO,1,0,1,5,12586282.0,https://dnevnik.hr/vijesti/hrvatska/grmoja-plenkoviceva-poruka-je-skandalozna-steze-se-obruc-oko-ministrice---830919.html,"Grmoja: ""Plenkovićeva poruka je skandalozna, steže se obruč oko ministrice""",2024-02-27
1,NO,NO,NO,NO,1,0,0,3,12585686.0,https://dnevnik.hr/vijesti/hrvatska/milinovic-morao-sam-biti-simpatican-vozio-sam-spomenku-i-omeksao-je---830855.html,"Milinović: ""Nekad se morate služiti svime, ovako sam omekšao Spomenku...""",2024-02-27
1,NO,NO,NO,NO,1,0,0,4,12586852.0,https://dnevnik.hr/vijesti/hrvatska/plenkovic-komentirao-izjavu-predsjednika-milanovica---830944.html,"Plenković uzvratio Milanoviću: ""Nastavlja voditi halucinirajuću politiku, ima proruski narativ i šteti Hrvatskoj""",2024-02-27
-1,1,0,1,0,1,1,0,5,12589480.0,https://dnevnik.hr/vijesti/hrvatska/lijevo-liberalna-oporba-organizira-prosvjede-23-ozujka-u-nekoliko-gradova---831152.html,"Oporba organizira prosvjede u nekoliko gradova: ""Nastavljamo borbu""",2024-02-28
0,1,1,1,0,1,0,0,5,12566770.0,https://dnevnik.hr/vijesti/hrvatska/novi-crobarometar-hdz-je-i-dalje-na-vrhu-ali-oporba-vec-neko-vrijeme-ozbiljno-napreduje---830282.html,"Novi Crobarometar: HDZ je i dalje na vrhu, ali oporba već neko vrijeme ozbiljno napreduje",2024-02-23
-1,1,NO,NO,NO,1,0,0,4,12566470.0,https://dnevnik.hr/vijesti/hrvatska/oporba-oplela-po-andreju-plenkovicu-zbog-ureda-europskog-javnog-tuzitelja---830271.html,"Oporba oplela po Plenkoviću: ""Zbog ovog se slučaja ponaša kao ranjena zvijer"", ""Noktima se grebe da se DORH toga dokopa""",2024-02-23
1,0,0,1,0,1,0,0,4,12570049.0,https://dnevnik.hr/vijesti/hrvatska/koga-biste-izabrali-za-premijera-da-su-izbori-sada-ekskluzivno-istrazivanje-dnevnika-nove-tv---830400.html,"Ekskluzivno istraživanje Dnevnika Nove TV: Evo koga biste izabrali za premijera, neki kandidati imaju razloga za političku glavobolju",2024-02-24
-1,1,NO,NO,NO,1,0,1,6,12568232.0,https://dnevnik.hr/vijesti/hrvatska/grbin-plenkovic-nas-zbog-nine-obuljen-korzinek-zeli-posvadjati-s-europom---830351.html,"Grbin nakon druženja s građanima oštro po HDZ-u: ""Skakavci kad navale naprave manju štetu, nego što su oni na području Slavonije""",2024-02-24
NO,1,NO,1,NO,0,1,0,5,12570471.0,https://dnevnik.hr/vijesti/hrvatska/stranacka-preslagivanja-kako-ce-blok-na-ljevici-izgledati-do-izbora-i-tko-ce-s-kime-koalirati---830412.html,Novi ljubavni trokut na ljevici? Za nju se bore dvije najveće stranke,2024-02-24
1,NO,NO,NO,NO,1,0,1,5,12563517.0,https://dnevnik.hr/vijesti/hrvatska/magdalena-komes-odgovorila-na-izjave-radimira-cacica---830083.html,Komes odgovorila Čačiću: “Nulta tolerancija na korupciju proizlazi iz stranačke vertikale i to mu smeta“,2024-02-22
0,0,0,NO,NO,1,0,0,3,12562753.0,https://dnevnik.hr/vijesti/hrvatska/punih-14-sati-trajala-je-rasprava-u-saboru-kad-cemo-na-izbore-ne-zna-se---829885.html,"Punih 14 sati trajala je rasprava u Saboru: Kad ćemo na izbore, ne zna se",2024-02-22
