HDZ,SDP,MOST,Možemo!,DP,Policy,Ideological,Scandal,Impact,id,url,title,date
1,-1,NO,NO,NO,1,0,0,4,12588388,https://www.index.hr/vijesti/clanak/hdz-danas-smo-vidjeli-novi-oporbeni-debakl-fijasko-blamazu/2542689.aspx,"HDZ: Danas smo vidjeli novi oporbeni debakl, fijasko, blamažu...",2024-02-28
1,NO,NO,NO,NO,1,1,0,5,12593124,https://www.index.hr/vijesti/clanak/seks-sve-mracne-sile-u-hrvatskoj-su-se-okupile-da-sruse-hdz-nece-uspjeti/2542936.aspx,Šeks: Sve mračne sile u Hrvatskoj su se okupile da sruše HDZ. Neće uspjeti,2024-02-28
0,1,0,0,0,1,0,0,3,12601269,https://www.index.hr/vijesti/clanak/europski-parlament-je-za-ukidanje-veta-u-glasanju-oko-najvaznijih-pitanja/2543094.aspx,Europski parlament je za ukidanje veta u glasanju oko najvažnijih pitanja,2024-02-29
-1,NO,NO,NO,NO,1,0,0,5,12601874,https://www.index.hr/vijesti/clanak/fokus-vlada-radi-sjajno-pruzaju-mladima-priliku-da-zarade-u-irskoj-i-njemackoj/2543106.aspx,"Fokus: Vlada radi sjajno, pružaju mladima priliku da zarade u Irskoj i Njemačkoj",2024-02-29
0,1,NO,1,NO,1,0,0,4,12600844,https://www.index.hr/vijesti/clanak/hdzovac-kritizirao-harac-tomasevic-svrbi-vas-sto-ne-mozete-do-novca/2543059.aspx,"HDZ-ovac kritizirao ""harač"". Tomašević: Svrbi vas što ne možete do novca",2024-02-29
NO,NO,NO,NO,NO,1,0,0,3,12588839,https://www.index.hr/vijesti/clanak/europska-komisija-ce-odluciti-o-zastiti-naziva-hrvatskog-proseka/2542747.aspx,Europska komisija će donijeti konačnu odluku o zaštiti naziva hrvatskog prošeka,2024-02-28
1,NO,NO,NO,NO,1,0,0,4,12592058,https://www.index.hr/vijesti/clanak/europski-parlament-trazi-da-se-ubrza-proces-prosirenja-eu/2542897.aspx,"Europski parlament: Vojna pobjeda Ukrajine je nužna, kao i ulazak u EU i NATO",2024-02-28
-1,NO,NO,NO,NO,1,0,0,4,12589486,https://www.index.hr/vijesti/clanak/bandicevi-ljudi-sramotno-je-sto-on-nema-nadgrobni-spomenik-kriv-je-tomasevic/2542805.aspx,"HDZ i Bandićevi ljudi o njegovom grobu bez spomenika: Morbidno, sramotno...",2024-02-28
1,0,-1,NO,NO,1,0,0,4,12589121,https://www.index.hr/vijesti/clanak/hdzova-ministrica-u-centru-afere-meni-je-u-interesu-razotkrivanje-zlouporaba/2542796.aspx,HDZ-ova ministrica u centru afere: Meni je u interesu razotkrivanje zlouporaba,2024-02-28
1,NO,NO,NO,NO,1,0,0,3,12588950,https://www.index.hr/vijesti/clanak/hdzovac-danas-smo-u-saboru-vidjeli-krah-cijele-oporbe/2542775.aspx,HDZ-ovac: Danas smo u saboru vidjeli krah cijele oporbe,2024-02-28
