HDZ,SDP,MOST,Možemo!,DP,Policy,Ideological,Scandal,Impact,id,url,title,date
-1,NO,1,NO,1,1,1,0,6,12604592,https://www.jutarnji.hr/vijesti/hrvatska/seks-nam-je-govorom-u-srijedu-pomogao-datum-izbora-anusic-ne-glumi-15433842,‘Šeks nam je govorom u srijedu pomogao. Datum izbora? Anušić ne glumi...‘,2024-02-29
NO,NO,NO,NO,1,0,1,1,4,12608587,https://www.jutarnji.hr/vijesti/hrvatska/druzio-se-s-bujancom-nosio-hos-ove-majice-radio-sve-sto-naci-desnicar-mora-radit-a-onda-je-sve-propalo-zbog-500-eura-15434255,"Družio se s Bujancom, nosio HOS-ove majice, radio sve što naci-desničar mora radit. A onda je sve propalo zbog 500 eura...",2024-03-01
NO,NO,NO,NO,1,0,1,1,4,12609598,https://www.jutarnji.hr/vijesti/hrvatska/druzio-se-s-bujancom-nosio-hos-ove-majice-radio-sve-sto-naci-desnicar-mora-a-onda-je-sve-propalo-zbog-500-eura-15434255,"Družio se s Bujancom, nosio HOS-ove majice, radio sve što naci-desničar mora. A onda je sve propalo zbog 500 eura...",2024-03-01
NO,NO,NO,1,NO,1,0,0,5,12608272,https://www.jutarnji.hr/vijesti/hrvatska/mozemo-trazi-da-hrvatska-prizna-palestinu-to-bi-bila-jasna-politicka-poruka-15434207,Možemo! traži da Hrvatska prizna Palestinu: ‘To bi bila jasna politička poruka‘,2024-03-01
NO,1,NO,1,NO,1,0,0,5,12608109,https://www.jutarnji.hr/vijesti/hrvatska/s-kim-sdp-misli-u-predizbornu-koaliciju-rijeci-ivana-racana-su-znakovite-necemo-s-nacionalnim-strankama-15434190,S kim SDP misli u predizbornu koaliciju? Riječi Ivana Račana su znakovite: ‘Nećemo s nacionalnim strankama...‘,2024-03-01
1,NO,NO,NO,NO,1,0,0,5,12593139,https://www.jutarnji.hr/vijesti/hrvatska/plenkovic-otkrio-kad-stize-prvih-sest-visenamjenskih-borbenih-aviona-15433466,Plenković otkrio kad stiže prvih šest višenamjenskih borbenih aviona,2024-02-28
-1,0,NO,NO,NO,0,1,1,5,12588528,https://www.jutarnji.hr/vijesti/hrvatska/pogledajte-saborski-nastup-zbog-kojeg-je-jandrokovic-peovicki-porucio-vi-ste-izdajica-15433133,Pogledajte saborski ‘nastup‘ zbog kojeg je Jandroković Peovićki poručio: ‘Vi ste izdajica!‘,2024-02-28
-1,1,1,1,NO,1,1,0,5,12588118,https://www.jutarnji.hr/vijesti/hrvatska/sdp-ov-prijedlog-upravo-je-propao-nista-od-raspustanja-sabora-i-hitnog-raspisivanja-izbora-15433103,"SDP-ov prijedlog upravo je propao, ništa od raspuštanja Sabora i hitnog raspisivanja izbora",2024-02-28
NO,0,NO,1,NO,1,0,0,3,12604206,https://www.jutarnji.hr/vijesti/hrvatska/doznajemo-sto-mozemo-nudi-sdp-u-i-s-kim-na-iblerovom-nikako-ne-zele-suradnju-pa-on-je-optuzen-za-mito-15433827,Doznajemo što Možemo! nudi SDP-u i s kim na Iblerovom nikako ne žele suradnju: ‘Pa on je optužen za mito!‘,2024-02-29
0,NO,NO,NO,NO,0,0,0,2,12600854,https://www.jutarnji.hr/vijesti/hrvatska/puljkova-vijecnica-podnijela-ostavku-u-gradskom-vijecu-i-napustila-stranku-doslo-je-do-razilazenja-u-misljenjima-15433670,Puljkova vijećnica podnijela ostavku u Gradskom vijeću i napustila stranku: ‘Došlo je do razilaženja u mišljenjima...‘,2024-02-29
