,HDZ,SDP,MOST,Možemo!,DP,Policy,Ideological,Scandal,Impact,id,url,title,date
0,1,NO,NO,NO,NO,1,0,0,3,6277296,https://www.vecernji.hr/vijesti/aladrovic-uskoro-dolaskraceno-radno-vrijeme-teret-dijela-rada-koji-nije-efikasan-snosit-ce-drzava-1406654,Ministar Aladrović objasnio kako će izgledati skraćeni radni tjedan,2020-06-01
1,NO,0,NO,NO,NO,1,0,0,4,6972909,https://www.vecernji.hr/vijesti/neodgovorne-se-saborske-zastupnike-moze-kazniti-jedino-i-samo-na-izborima-1406520,Neodgovorne se saborske zastupnike može kazniti jedino i samo na izborima,2020-06-01
2,0,0,NO,NO,1,1,1,0,6,4292940,https://www.vecernji.hr/vijesti/nece-to-vise-biti-dvoboj-hdz-a-i-sdp-a-bitka-prvi-put-ulazi-u-zestok-trokut-1406442,"Neće to više biti dvoboj HDZ-a i SDP-a, bitka prvi put ulazi u žestok trokut",2020-06-01
3,1,0,-1,NO,0,0,1,0,3,5924070,https://www.vecernji.hr/vijesti/ni-skoro-ne-moze-razbiti-duopol-hdz-a-i-sdp-a-koji-su-poput-kazalista-i-valjka-1406687,Ni Škoro ne može razbiti duopol HDZ-a i SDP-a koji su poput Kazališta i Valjka,2020-06-01
4,1,-1,NO,NO,NO,1,0,1,4,6137830,https://www.vecernji.hr/vijesti/parlamentarni-izbori-i-afere-uoci-sastanka-plenkovic-najavio-kako-ce-se-razgovarati-o-svemu-1406736,"Plenković najavio stegovni postupak protiv Josipe Rimac, ali i otkrio nositelje HDZ-ovih lista",2020-06-01
5,0,NO,NO,NO,NO,1,0,1,4,1862807,https://www.jutarnji.hr/vijesti/hrvatska/u-ratu-hdz-ovaca-padaju-teske-rijeci-i-uvrede-u-stranci-ima-lopova-i-lazova-10360435,U RATU HDZ-ovaca PADAJU TEŠKE RIJEČI I UVREDE 'U stranci ima lopova i lažova',2020-06-01
6,1,NO,NO,NO,NO,1,0,1,4,1852063,https://www.jutarnji.hr/vijesti/hrvatska/coric-o-svojoj-ulozi-u-projektu-vjetroelektrane-oko-koje-je-izbila-afera-u-kojoj-je-uhicena-josipa-rimac-nema-govora-o-pogodovanju-bilo-kome-10362379,ĆORIĆ O SVOJOJ ULOZI U PROJEKTU VJETROELEKTRANE OKO KOJE JE IZBILA AFERA U KOJOJ JE UHIĆENA JOSIPA RIMAC 'Nema govora o pogodovanju bilo kome',2020-06-01
7,-1,NO,1,NO,NO,1,0,0,5,7882613,https://www.vecernji.hr/vijesti/bulj-plenkovic-ima-zapovjednu-odgovornost-ne-moze-pilatovski-prati-ruke-1406683,"Bulj: Plenković ima zapovjednu odgovornost, ne može pilatovski prati ruke",2020-06-01
8,1,NO,NO,NO,0,0,1,0,5,5699443,https://www.vecernji.hr/vijesti/demokrscane-nije-briga-za-socijalni-nauk-a-ljevicu-za-radnike-1406498,"Demokršćane nije briga za socijalni nauk, a ljevicu za radnike",2020-06-01
9,NO,0,0,NO,NO,0,0,1,2,7031385,https://www.vecernji.hr/vijesti/maras-rekorder-po-broju-kazni-pernar-po-broju-izbacivanja-1406592,"Maras rekorder po broju kazni, Pernar po broju izbacivanja",2020-06-01
