HDZ,SDP,MOST,Možemo!,DP,Policy,Ideological,Scandal,Impact,id,url,title,date
-1,1,NO,NO,NO,1,1,0,5,12601941,https://www.vecernji.hr/vijesti/neuspjeh-najavljenih-prosvjeda-bio-bi-los-za-ljevicu-a-afere-ne-utjecu-znacajno-na-rejting-hdz-a-1750264,"'Neuspjeh najavljenih prosvjeda bio bi loš za ljevicu, a afere ne utječu značajno na rejting HDZ-a'",2024-02-29
NO,1,NO,1,NO,0,1,0,3,12599026,https://www.vecernji.hr/vijesti/ljevica-organizira-pet-novih-prosvjeda-sdp-u-dosla-ponuda-mozemo-o-tockastoj-koaliciji-1750036,Ljevica organizira pet novih prosvjeda: SDP-u došla ponuda Možemo o točkastoj koaliciji,2024-02-29
1,NO,NO,NO,NO,1,0,0,3,12607454,https://www.vecernji.hr/zagreb/kada-ce-se-rasplesti-prica-o-legalnosti-grobnog-mjesta-milana-bandica-evo-sto-su-nam-rekli-iz-ministarstva-1750469,Kada će se rasplesti priča o legalnosti grobnog mjesta Milana Bandića? Evo što su nam rekli iz Ministarstva,2024-03-01
1,-1,NO,NO,NO,1,0,0,5,12642154,https://www.vecernji.hr/vijesti/plenkovic-osjeca-se-uvjerenje-da-ce-hdz-a-i-sljedece-cetiri-godini-voditi-zemlju-1753401,Plenković: Osjeća se uvjerenje da će HDZ-a i sljedeće četiri godini voditi zemlju,2024-03-01
1,NO,NO,NO,NO,1,0,0,4,12608572,https://www.vecernji.hr/vijesti/plenkovic-ocekujemo-da-ce-markic-nastaviti-obnasati-duznost-na-celu-soa-e-1750586,Plenković: Očekujemo da će Markić nastaviti obnašati dužnost na čelu SOA-e,2024-03-01
NO,NO,NO,NO,NO,1,0,0,3,12589103,https://www.vecernji.hr/vijesti/ep-podrzao-pravila-za-oznake-zemljopisnog-podrijetla-za-vino-konacnu-odluku-o-proseku-donosi-komisija-1749990,"EP podržao pravila za oznake zemljopisnog podrijetla za vino, konačnu odluku o prošeku donosi Komisija",2024-02-28
0,-1,NO,NO,NO,1,0,0,5,12587923,https://www.vecernji.hr/vijesti/komplicirana-predizborna-krizaljka-na-ljevici-grbin-bi-zbog-puljka-mogao-ostati-bez-dalije-oreskovic-1749845,Komplicirana predizborna križaljka na ljevici: Grbin bi zbog Puljka mogao ostati bez Dalije Orešković,2024-02-28
0,0,-1,0,0,1,1,0,4,12588175,https://www.vecernji.hr/vijesti/nista-od-raspustanja-sabora-odbijen-oporbeni-prijedlog-1749875,Mrak Taritaš: Potucite nas do koljena; Jandroković: Još malo se strpite pa ćete biti potučeni,2024-02-28
1,NO,NO,NO,NO,1,0,0,5,12592864,https://www.vecernji.hr/vijesti/plenkovic-najavio-kada-stizu-prvi-rafalei-pa-porucio-ne-vidimo-alternativu-hdz-u-1750104,Plenković najavio kada stižu prvi Rafalei pa poručio: 'Ne vidimo alternativu HDZ-u',2024-02-28
-1,-1,NO,NO,NO,0,1,0,4,12588339,https://www.vecernji.hr/vijesti/video-zestoki-obracun-peovic-i-jandrokovica-vi-ste-nacionalna-izdajica-prestanite-koristiti-taj-izraz-1749903,"VIDEO Žestoki obračun Peović i Jandrokovića: 'Vi ste nacionalna izdajica, prestanite koristiti taj izraz'",2024-02-28
