MJESEC,HDZ,SDP,MOST,DP,MOZEMO,NEODLUCNI,DA_IZL,NZ_IZL,NE_IZL,INFLACIJA,PLACA
Lipanj '20,25.4%,22.5%,6.9%,10.8%,2.7%,9.2%,,,100.0%,-0.4%,  899.10 € 
Srpanj '20,30.2%,18.4%,8.2%,6.9%,8.7%,8.8%,,,100.0%,-0.6%,  892.20 € 
Kolovoz '20,33.1%,16.4%,7.0%,6.1%,8.6%,9.9%,,,100.0%,-0.4%,  892.30 € 
Rujan '20,33.7%,17.1%,6.2%,7.9%,8.2%,11.8%,,,100.0%,-0.3%,  895.50 € 
Listopad '20,32.5%,18.7%,7.3%,8.4%,6.7%,9.9%,,,100.0%,-0.2%,  896.70 € 
Studeni '20,31.5%,17.6%,7.4%,7.5%,6.5%,10.5%,,,100.0%,0.0%,  910.90 € 
Prosinac '20,30.8%,16.2%,8.3%,9.4%,8.6%,5.1%,,,100.0%,-0.3%,  928.90 € 
Siječanj '21,31.1%,16.6%,7.8%,7.3%,9.6%,8.3%,,,100.0%,0.0%,  926.30 € 
Veljača '21,30.9%,17.2%,8.0%,6.8%,9.3%,13.3%,,,100.0%,0.7%,  934.10 € 
Ožujak '21,29.1%,16.0%,7.3%,6.2%,9.4%,16.6%,,,100.0%,1.6%,  947.40 € 
Travanj '21,29.3%,15.1%,7.7%,6.6%,8.7%,16.8%,,,100.0%,2.1%,  939.90 € 
Svibanj '21,30.5%,15.2%,6.7%,7.3%,9.4%,13.7%,,,100.0%,2.4%,  942.90 € 
Lipanj '21,30.7%,13.4%,6.8%,6.4%,13.4%,14.9%,,,100.0%,2.2%,  952.30 € 
Srpanj '21,29.8%,14.3%,7.6%,7.7%,14.9%,8.0%,,,100.0%,2.7%,  935.20 € 
Kolovoz '21,30.0%,12.7%,8.9%,5.0%,15.6%,14.2%,,,100.0%,3.1%,  944.70 € 
Rujan '21,30.8%,13.4%,8.3%,5.2%,13.6%,15.1%,,,100.0%,3.5%,  943.40 € 
Listopad '21,30.9%,12.2%,8.2%,4.5%,11.2%,14.6%,,,100.0%,3.9%,  947.60 € 
Studeni '21,29.5%,13.3%,9.4%,4.8%,10.3%,17.6%,,,100.0%,4.7%,  973.30 € 
Prosinac '21,29.7%,13.1%,10.6%,5.3%,8.8%,17.2%,,,100.0%,5.2%,  966.20 € 
Siječanj '22,30.4%,13.5%,8.8%,6.0%,9.4%,16.8%,,,100.0%,5.5%,  979.20 € 
