,Grad,Rbr BM,Naziv BM,Lokacija BM,Adresa BM,Ukupno birača,Glasovalo ukupno,MOST,HDZ,SDP,BM
0,ZAGREB-ISTOČNI DIO,61,30 SVIBNJA 1990,PROSTORIJE MJESNOG ODBORA,"VINODOLSKA ULICA 23, ZAGREB-ISTOČNI DIO",1277,544,42,192,104,"61 30 SVIBNJA 1990, ZAGREBISTOČNI DIO"
1,ZAGREB-ISTOČNI DIO,62,30 SVIBNJA 1990,PROSTORIJE MJESNOG ODBORA,"VINODOLSKA ULICA 23, ZAGREB-ISTOČNI DIO",1347,501,62,153,104,"62 30 SVIBNJA 1990, ZAGREBISTOČNI DIO"
2,ZAGREB-ISTOČNI DIO,63,30 SVIBNJA 1990,PROSTORIJE MJESNOG ODBORA,"VINODOLSKA ULICA 23, ZAGREB-ISTOČNI DIO",1236,480,59,144,87,"63 30 SVIBNJA 1990, ZAGREBISTOČNI DIO"
3,ZAGREB-ISTOČNI DIO,64,30 SVIBNJA 1990,PROSTORIJE MJESNOG ODBORA,"VINODOLSKA ULICA 23, ZAGREB-ISTOČNI DIO",1321,550,53,180,108,"64 30 SVIBNJA 1990, ZAGREBISTOČNI DIO"
4,ŠODOLOVCI,4,ADA,DRUŠTVENI DOM,"GLAVNA 6, ŠODOLOVCI",121,20,0,2,17,"4 ADA, ŠODOLOVCI"
5,ZAGREB-ISTOČNI DIO,65,ADAMOVEC,PROSTORIJE MJESNOG ODBORA,"ULICA KNEZA ADAMA 1, ZAGREB-ISTOČNI DIO",723,319,14,76,97,"65 ADAMOVEC, ZAGREBISTOČNI DIO"
6,REŠETARI,4,ADŽAMOVCI,OSNOVNA ŠKOLA U ADŽAMOVCIMA,"S. RADIĆA 3, REŠETARI",490,193,2,91,52,"4 ADŽAMOVCI, REŠETARI"
7,ERDUT,7,ALJMAŠ,PROSTORIJE MO,"MLADENA PALINKAŠA 5, ERDUT",555,279,4,117,41,"7 ALJMAŠ, ERDUT"
8,OROSLAVJE,3,ANDRAŠEVEC,DRUŠTVENI DOM,"ANDRAŠEVEC, BARLOVIĆEVA 2, OROSLAVJE",762,310,14,75,105,"3 ANDRAŠEVEC, OROSLAVJE"
9,ANDRIJAŠEVCI,1,ANDRIJAŠEVCI,OSNOVNA ŠKOLA IVANA BRLIĆ MAŽURANIĆ,"ŠKOLSKA 1, ANDRIJAŠEVCI",930,405,13,212,42,"1 ANDRIJAŠEVCI, ANDRIJAŠEVCI"
10,ANDRIJAŠEVCI,2,ANDRIJAŠEVCI,OSNOVNA ŠKOLA IVANA BRLIĆ MAŽURANIĆ,"ŠKOLSKA 1, ANDRIJAŠEVCI",616,269,10,143,29,"2 ANDRIJAŠEVCI, ANDRIJAŠEVCI"
11,ANDRIJAŠEVCI,3,ANDRIJAŠEVCI,OSNOVNA ŠKOLA IVANA BRLIĆ MAŽURANIĆ,"ŠKOLSKA 1, ANDRIJAŠEVCI",663,295,13,177,35,"3 ANDRIJAŠEVCI, ANDRIJAŠEVCI"
12,ANDRIJAŠEVCI,4,ANDRIJAŠEVCI,OSNOVNA ŠKOLA IVANA BRLIĆ MAŽURANIĆ,"ŠKOLSKA 1, ANDRIJAŠEVCI",988,389,13,217,40,"4 ANDRIJAŠEVCI, ANDRIJAŠEVCI"
13,KOŠKA,9,ANDRIJEVAC,DRUŠTVENI DOM,"BRAĆE RADIĆA 2, KOŠKA",98,36,0,19,9,"9 ANDRIJEVAC, KOŠKA"
14,DUGO SELO,25,ANDRILOVEC,VATROGASNI DOM ANDRILOVEC,"ANDRILOVEC, ANDRILOVEČKA CESTA 83, DUGO SELO",247,85,9,25,23,"25 ANDRILOVEC, DUGO SELO"
15,ANTUNOVAC,1,ANTUNOVAC,HRVATSKI DOM,"BRAĆE RADIĆA 4, ANTUNOVAC",1028,607,17,395,66,"1 ANTUNOVAC, ANTUNOVAC"
16,ANTUNOVAC,2,ANTUNOVAC,OSNOVNA ŠKOLA ANTUNOVAC,"ŠKOLSKA ULICA 15, ANTUNOVAC",825,545,13,360,60,"2 ANTUNOVAC, ANTUNOVAC"
17,LUDBREG,6,APATIJA,DRUŠTVENI DOM,"APATIJA 21A, LUDBREG",199,120,0,53,19,"6 APATIJA, LUDBREG"
18,KRIŽEVCI,16,APATOVEC,PODRUČNA ŠKOLA APATOVEC,"APATOVEC, KRIŽEVCI",273,72,1,31,12,"16 APATOVEC, KRIŽEVCI"
19,NIJEMCI,5,APŠEVCI,OSNOVNA ŠKOLA LIPOVACPODRUČNA ŠKOLA APŠEVCI,"KRALJA TOMISLAVA 58, NIJEMCI",217,97,2,60,4,"5 APŠEVCI, NIJEMCI"
20,ZADAR,1,ARBANASI,MJESNI ODBOR ARBANASI,"TRG GOSPE LORETSKE 1, ZADAR",897,352,17,204,64,"1 ARBANASI, ZADAR"
21,ZADAR,2,ARBANASI,MJESNI ODBOR ARBANASI,"TRG GOSPE LORETSKE 1, ZADAR",1033,483,23,268,84,"2 ARBANASI, ZADAR"
22,POŽEGA,1,ARSLANOVCI I ŠPORTSKA DVORANA GRABRIK,POŽEGA,"ANTUNA KANIŽLIĆA 14A, POŽEGA",516,245,24,87,71,"1 ARSLANOVCI I ŠPORTSKA DVORANA GRABRIK, POŽEGA"
23,POŽEGA,2,ARSLANOVCI II PRIVATNA KUĆA ROKIĆ GORANA,POŽEGA,"ARSLANOVCI 11, POŽEGA",745,353,34,156,69,"2 ARSLANOVCI II PRIVATNA KUĆA ROKIĆ GORANA, POŽEGA"
24,POŽEGA,4,ARSLANOVCI IV TRGOVINA INLES,POŽEGA,"DUBROVAČKA 115, POŽEGA",610,287,19,134,37,"4 ARSLANOVCI IV TRGOVINA INLES, POŽEGA"
25,CISTA PROVO,1,ARŽANO,OSNOVNA ŠKOLA,"ARŽANO, CISTA PROVO",356,186,14,126,3,"1 ARŽANO, CISTA PROVO"
26,"ZAGREB-CENTAR, ZAPAD",31,AUGUST CESAREC,PROSTORIJE MJESNOG ODBORA,"TKALČIĆEVA ULICA 33 DVORANA, PRIZEMLJE DESNO, ZAGREB-CENTAR, ZAPAD",1314,637,45,224,118,"31 AUGUST CESAREC, ZAGREBCENTAR ZAPAD"
27,"ZAGREB-CENTAR, ZAPAD",3,AUGUST ŠENOA,PROSTORIJE MJESNOG ODBORA,"ULICA PAVLA HATZA 8, ZAGREB-CENTAR, ZAPAD",1076,570,55,138,130,"3 AUGUST ŠENOA, ZAGREBCENTAR ZAPAD"
28,"ZAGREB-CENTAR, ZAPAD",4,AUGUST ŠENOA,PROSTORIJE MJESNOG ODBORA,"ULICA PAVLA HATZA 8, ZAGREB-CENTAR, ZAPAD",1178,610,39,156,139,"4 AUGUST ŠENOA, ZAGREBCENTAR ZAPAD"
29,POKUPSKO,9,AUGUŠTANOVEC,U SJENICI,"AUGUŠTANOVEC BB, POKUPSKO",96,57,3,27,14,"9 AUGUŠTANOVEC, POKUPSKO"
30,BABINA GREDA,1,BABINA GREDA,ČITAONICA NOVA SALA,"KRALJA TOMISLAVA BB, BABINA GREDA",631,230,5,91,83,"1 BABINA GREDA, BABINA GREDA"
31,BABINA GREDA,2,BABINA GREDA,ČITAONICA ČEVATOVO,"BANA J.JELAČIĆA BB, BABINA GREDA",624,263,7,124,55,"2 BABINA GREDA, BABINA GREDA"
32,BABINA GREDA,3,BABINA GREDA,ČITAONICA DONJA MALA,"VLADIMIRA NAZORA 42, BABINA GREDA",856,328,2,158,79,"3 BABINA GREDA, BABINA GREDA"
33,BABINA GREDA,4,BABINA GREDA,ČITAONICA BERAVA,"BRAĆE RADIĆA 33, BABINA GREDA",524,210,5,96,52,"4 BABINA GREDA, BABINA GREDA"
34,BABINA GREDA,5,BABINA GREDA,ČITAONICA JELAS,"MIJATA STOJANOVIĆA 116, BABINA GREDA",270,99,4,31,26,"5 BABINA GREDA, BABINA GREDA"
35,IVANSKA,10,BABINAC,DRUŠTVENI DOM,"BABINAC 50, IVANSKA",109,56,2,5,33,"10 BABINAC, IVANSKA"
36,VELIKA PISANICA,4,BABINAC,MJESNI DOM,"BABINAC 34, VELIKA PISANICA",217,53,4,19,15,"4 BABINAC, VELIKA PISANICA"
37,CESTICA,7,BABINEC,PROSTORIJE VATROGASNOG DOMA DVDA BABINEC,"ŠKOLSKA ULICA, CESTICA",671,353,6,35,69,"7 BABINEC, CESTICA"
38,MLJET,4,BABINO POLJEZABREŽJE,DOM KULTURE  ZABREŽJE U BABINOM POLJU,"BABINO POLJE - ZABREŽJE BB, MLJET",150,102,11,38,30,"4 BABINO POLJEZABREŽJE, MLJET"
39,MLJET,5,BABINO POLJEZADUBLJE,ZGRADA STARA OPĆINA U BABINOM POLJU,"BABINO POLJE-ZADUBLJE BB, MLJET",132,82,6,31,33,"5 BABINO POLJEZADUBLJE, MLJET"
40,POREČ - PARENZO,1,BADERNA  MOMPADERNO,ZGRADA ŠKOLE,"BADERNA, POREČ - PARENZO",546,199,14,37,85,"1 BADERNA  MOMPADERNO, POREČ  PARENZO"
41,ZAŽABLJE,4,BADŽULA,KUĆA DRAGANA CRNČEVIĆA BEKLIJEBADŽULA,"BADŽULA, ZAŽABLJE",55,39,19,17,1,"4 BADŽULA, ZAŽABLJE"
42,KRK,9,BAJČIĆI,MJESNI DOM BAJČIĆI,"BAJČIĆI, KRK",423,221,26,55,75,"9 BAJČIĆI, KRK"
43,BAKAR,1,BAKAR,PROSTORIJE DOMA KULTURE MATIJA MAŽIĆ MERGED HETERO,"PALADA BB, BAKAR",1254,520,11,229,154,BAKAR MERGED HETERO
44,KRALJEVICA,3,BAKARAC,PROSTORIJE DRUŠTVENOG DOMA,"BAKARAC 8, KRALJEVICA",270,151,13,53,49,"3 BAKARAC, KRALJEVICA"
45,SLATINA,1,BAKIĆ,PODRUČNA OSNOVNA ŠKOLA BAKIĆ,"BAKIĆ, SLATINA",436,199,2,122,22,"1 BAKIĆ, SLATINA"
46,KOPRIVNICA,5,BAKOVČICA,PODRUČNA ŠKOLA BAKOVČICA,"ŠKOLSKA 35, KOPRIVNICA",267,116,6,39,40,"5 BAKOVČICA, KOPRIVNICA"
47,BALE - VALLE,1,BALE,PODRUČNA ŠKOLA JURJA DOBRILE,"DOMENICO CERNECCA 3, BALE - VALLE",1053,404,14,85,186,"1 BALE, BALE  VALLE"
48,"ZAGREB-CENTAR, ZAPAD",179,BAN KEGLEVIĆ,PROSTORIJE MJESNOG ODBORA,"TRG FRANCUSKE REPUBLIKE 11, ZAGREB-CENTAR, ZAPAD",1167,633,36,147,136,"179 BAN KEGLEVIĆ, ZAGREBCENTAR ZAPAD"
49,"ZAGREB-CENTAR, ZAPAD",180,BAN KEGLEVIĆ,PROSTORIJE MJESNOG ODBORA,"BLEIWEISOVA ULICA 24, ZAGREB-CENTAR, ZAPAD",1148,621,39,149,143,"180 BAN KEGLEVIĆ, ZAGREBCENTAR ZAPAD"
50,"ZAGREB-CENTAR, ZAPAD",181,BAN KEGLEVIĆ,PROSTORIJE MJESNOG ODBORA,"BLEIWEISOVA ULICA 24, ZAGREB-CENTAR, ZAPAD",1077,617,37,160,146,"181 BAN KEGLEVIĆ, ZAGREBCENTAR ZAPAD"
51,RIJEKA,61,BANDEROVO,MEDICINSKI FAKULTET,"BRAĆE BRANCHETTA 20, RIJEKA",797,281,18,71,98,"61 BANDEROVO, RIJEKA"
52,RIJEKA,62,BANDEROVO,PROSTORIJE MJESNOG ODBORA,"RUDOLFA TOMŠIĆA 15, RIJEKA",1025,424,27,129,140,"62 BANDEROVO, RIJEKA"
53,CERNIK,3,BANIĆEVAC,DRUŠTVENI DOM BANIĆEVAC,"BANIĆEVAC, CERNIK",161,100,0,42,26,"3 BANIĆEVAC, CERNIK"
54,DUBROVAČKO PRIMORJE,3,BANIĆI,EX ŠKOLA BANIĆI BIRAČKO MJESTO III MERGED HETERO,"BANIĆI BB, DUBROVAČKO PRIMORJE",212,119,13,73,21,BANIĆI MERGED HETERO
55,RAKOVEC,4,BANIČEVEC,DRUŠTVENI DOM,"BANIČEVEC 39, RAKOVEC",149,135,0,53,13,"4 BANIČEVEC, RAKOVEC"
56,PAŠMAN,7,BANJ,PROSTORIJA MJESNOG ODBORA BANJ,"BANJ, PAŠMAN",221,99,4,42,26,"7 BANJ, PAŠMAN"
57,VRGORACPLOČE,14,BANJA,KUĆA DRINKA GRANIĆAKUĆA POKJOKE BATINOVIĆA MERGED HETERO,"BANJA 61, VRGORACPUT VRILA 5, BANJA, PLOČE",345,198,15,76,54,BANJA MERGED HETERO
58,SVETI IVAN ZELINA,21,BANJE SELO,DRUŠTVENI DOM,"BANJE SELO 48, SVETI IVAN ZELINA",111,30,6,5,5,"21 BANJE SELO, SVETI IVAN ZELINA"
59,STANKOVCI,2,BANJEVCI,PODRUČNA ŠKOLA BANJEVCI MERGED HETERO,"BANJEVCI, STANKOVCI",371,189,12,96,17,BANJEVCI MERGED HETERO
60,RAB,7,BANJOL 1,OŠ IVANA  RABLJANINA   UČION IRAZ,"BANJOL, RAB",1135,618,72,213,175,"7 BANJOL 1, RAB"
61,RAB,6,BANJOL 2,PODRUČNA ŠKOLA BANJOL,"BANJOL, RAB",589,281,35,105,92,"6 BANJOL 2, RAB"
