,Grad,Rbr BM,Naziv BM,Lokacija BM,Adresa BM,Ukupno birača,Glasovalo ukupno,MOST,MOŽEMO,DP,HDZ,SDP,BM,Uzrok
0,POZEGA,3,ARSLANOVCI III PRIVATNA KUCA NENADA CIGANOVICA,POZEGA,VRANDUK 3 POZEGA,412,230,33,,,88,63,3 ARSLANOVCI III PRIVATNA KUCA NENADA CIGANOVICA POZEGA,Nema u 2020
1,UMAG UMAGO,1,BABICI,DRUSTVENI DOM BABICI,BABICI BB UMAG UMAGO,656,356,19,,,34,86,1 BABICI UMAG UMAGO,Nema u 2020
2,KAPELA,5,BABOTOK,VATROGASNI DOM,BABOTOK 21 KAPELA,91,56,0,,,24,21,5 BABOTOK KAPELA,Nema u 2020
3,UMAG UMAGO,5,BASANIJA,DRUSTVENI DOM BASANIJA,BASANIJA BB UMAG UMAGO,904,451,28,,,44,162,5 BASANIJA UMAG UMAGO,Nema u 2020
4,VINODOLSKA OPCINA,1,BIRACKO MJESTO BR 1,PROSTORIJE STARA VIJECNICA U BRIBIRU,BRIBIR BRIBIR 34 VINODOLSKA OPCINA,859,459,68,,,103,207,1 BIRACKO MJESTO BR 1 VINODOLSKA OPCINA,Nema u 2020
5,NOVI VINODOLSKI,12,BIRACKO MJESTO BR 12,PROSTORIJE UPRAVNE ZGRADE SUMARIJE,NOVI VINODOLSKI KORZO HRVATSKIH BRANITELJA 39 NOVI VINODOLSKI,582,370,63,,,108,154,12 BIRACKO MJESTO BR 12 NOVI VINODOLSKI,Nema u 2020
6,VRBOVSKO,12,BIRACKO MJESTO BR 12,PROSTORIJE PODRUCNE SKOLE DOKMANOVICI,MORAVICE ULICA DOKMANOVICI VRBOVSKO,198,124,1,,,1,106,12 BIRACKO MJESTO BR 12 VRBOVSKO,Nema u 2020
7,OZALJ,2,BIRACKO MJESTO BR 2,ZAJACKO SELO,VATROGASNI DOM OZALJ,346,241,30,,,117,65,2 BIRACKO MJESTO BR 2 OZALJ,Nema u 2020
8,VINODOLSKA OPCINA,2,BIRACKO MJESTO BR 2,PROSTORIJE VJENCANA SALA U BRIBIRU,BRIBIR BRIBIR 34 VINODOLSKA OPCINA,682,337,33,,,81,153,2 BIRACKO MJESTO BR 2 VINODOLSKA OPCINA,Nema u 2020
9,OZALJ,20,BIRACKO MJESTO BR 20,POLJE OZALJSKO,DOM SLJUNCARA OZALJ,259,135,19,,,62,27,20 BIRACKO MJESTO BR 20 OZALJ,Nema u 2020
10,OZALJ,22,BIRACKO MJESTO BR 22,ZORKOVAC NAKUPI,KUCA KOSMAC BRANKA ZORKOVAC NK 18 OZALJ,103,68,8,,,34,16,22 BIRACKO MJESTO BR 22 OZALJ,Nema u 2020
11,OZALJ,24,BIRACKO MJESTO BR 24,GORNJE POKUPJE,KUCA BARICEVIC ZDRAVKA 6A OZALJ,158,92,16,,,35,28,24 BIRACKO MJESTO BR 24 OZALJ,Nema u 2020
12,KRNJAK,3,BIRACKO MJESTO BR 3,KUCA BRANKE SIPICBUDACKA RIJEKA 8 A,BUDACKA RIJEKA KRNJAK,145,64,3,,,45,10,3 BIRACKO MJESTO BR 3 KRNJAK,Nema u 2020
13,OZALJ,3,BIRACKO MJESTO BR 3,ZRINSKIH I FRANKOPANA 15,GRAD OZALJ OZALJ,302,175,31,,,37,83,3 BIRACKO MJESTO BR 3 OZALJ,Nema u 2020
14,OZALJ,6,BIRACKO MJESTO BR 6,KUCA STJEPANA BRAJAK,TOMASNICA 40 OZALJ,134,70,6,,,36,18,6 BIRACKO MJESTO BR 6 OZALJ,Nema u 2020
15,OZALJ,9,BIRACKO MJESTO BR 9,KUCA VESNE ZELJEZNJAK,FRATROVCI 17 OZALJ,38,21,1,,,11,7,9 BIRACKO MJESTO BR 9 OZALJ,Nema u 2020
16,KRASIC,9,BIRACKO MJESTO BR9 RUDE PRIBICKE,PROSTORIJE DRUSTVENOG DOMA,RUDE PRIBICKE KRASIC,36,9,0,,,0,8,9 BIRACKO MJESTO BR9 RUDE PRIBICKE KRASIC,Nema u 2020
17,TROGIR,16,BIRACKO MJESTO BROJ 16 U DRVENIKU VELIKOM,MJESNI ODBOR,TOC TROGIR,230,137,14,,,40,61,16 BIRACKO MJESTO BROJ 16 U DRVENIKU VELIKOM TROGIR,Nema u 2020
18,TROGIR,9,BIRACKO MJESTO BROJ 9 U TROGIRUCIOVO I,MJESNI ODBOR,OBALA KRALJA ZVONIMIRA 16 TROGIR,1419,768,127,,,237,353,9 BIRACKO MJESTO BROJ 9 U TROGIRUCIOVO I TROGIR,Nema u 2020
19,DUBROVNIK,52,BOCARSKI DOM NA BOSANCI,BOSANKA,BOSANKA DUBROVNIK,116,57,15,,,23,11,52 BOCARSKI DOM NA BOSANCI DUBROVNIK,Nema u 2020
20,STON,1,BOLJENOVICI,OSNOVNA SKOLA SPARAGOVICI,BOLJENOVICI STON,86,48,19,,,11,9,1 BOLJENOVICI STON,Nema u 2020
21,SVETI IVAN ZABNO,1,BRDO CIRKVENSKO,KUCA MUZAR MIRKA,BRDO CIRKVENSKO 49 SVETI IVAN ZABNO,97,42,4,,,9,22,1 BRDO CIRKVENSKO SVETI IVAN ZABNO,Nema u 2020
22,RADOBOJ,3,BREGI RADOBOJSKI KRALJEVEC RADOBOJSKI,PROSTORIJE STARE HIZE,BREGI RADOBOJSKI 35 RADOBOJ,413,268,6,,,112,120,3 BREGI RADOBOJSKI KRALJEVEC RADOBOJSKI RADOBOJ,Nema u 2020
23,STON,3,BROCE,PROSTORIJE RIBARSKE ZADRUGE NA BROCAMA,BROCE BB STON,102,42,4,,,20,11,3 BROCE STON,Nema u 2020
24,BRTONIGLA VERTENEGLIO,1,BRTONIGLA,SJEDISTE PODRUCNE SKOLE U BRTONIGLI,DUDOVA 24 BRTONIGLA BRTONIGLA VERTENEGLIO,604,358,22,,,53,66,1 BRTONIGLA BRTONIGLA VERTENEGLIO,Nema u 2020
25,BUJE BUIE,1,BUJE,OSNOVNA SKOLA MATE BALOTE BUJE,SKOLSKI BRIJEG BB BUJE BUJE BUIE,758,453,26,,,66,190,1 BUJE BUJE BUIE,Nema u 2020
26,BUJE BUIE,2,BUJE,OSNOVNA SKOLA MATE BALOTA BUJE,SKOLSKI BRIJEG BB BUJE BUJE BUIE,1161,645,61,,,105,231,2 BUJE BUJE BUIE,Nema u 2020
27,PREGRADA,3,BUSIN,KUCA HANZIC JOSIPA,BUSIN 43 PREGRADA,115,67,8,,,24,24,3 BUSIN PREGRADA,Nema u 2020
28,DUBROVACKO PRIMORJE,7,CEPIKUCE,PERIC KLANAC,CEPIKUCE BB DUBROVACKO PRIMORJE,55,27,5,,,11,7,7 CEPIKUCE DUBROVACKO PRIMORJE,Nema u 2020
29,STON,4,CESVINICA,DRUSTVENI DOM,CESVINICA BB STON,47,35,3,,,18,2,4 CESVINICA STON,Nema u 2020
30,STON,5,DANCANJE,OBJEKT MARIA PRCEVICA,DANCANJE BB STON,19,18,4,,,10,2,5 DANCANJE STON,Nema u 2020
31,LIPIK,16,DRUSTVENI DOM,SEOVICA,OMANOVACKA BB LIPIK,133,56,3,,,28,12,16 DRUSTVENI DOM LIPIK,Nema u 2020
32,STON,6,DUBA STONSKA,OBJEKAT ANTE MIHOCEVICA,DUBA STONSKA BB STON,51,27,3,,,14,10,6 DUBA STONSKA STON,Nema u 2020
33,DUBROVNIK,6,DUBROVNIK,GRADSKI KOTAR I,SIROKA BROJ 41 DUBROVNIK,863,463,75,,,195,141,6 DUBROVNIK DUBROVNIK,Nema u 2020
34,DUBROVNIK,13,DUBROVNIK,OSNOVNA SKOLA MONTOVJERNADVORANA A,DR VLATKA MACEKA 11 DUBROVNIK,810,503,77,,,172,193,13 DUBROVNIK DUBROVNIK,Nema u 2020
35,DUBROVNIK,14,DUBROVNIK,OSNOVNA SKOLA MONTOVJERNA DVORANA B,DR VLATKA MACEKA 11 DUBROVNIK,1326,725,122,,,201,320,14 DUBROVNIK DUBROVNIK,Nema u 2020
36,DUBROVNIK,35,DUBROVNIK,DVD TENTURIJA,TENTURIJA BB DUBROVNIK,1459,806,176,,,323,205,35 DUBROVNIK DUBROVNIK,Nema u 2020
37,BRTONIGLA VERTENEGLIO,3,FIORINI,DRUSTVENI DOM FIORINI,FIORINI BB BRTONIGLA VERTENEGLIO,168,100,7,,,3,20,3 FIORINI BRTONIGLA VERTENEGLIO,Nema u 2020
38,VODNJAN DIGNANO,4,GALIZANA,ZGRADA MJESNOG ODBORA GALIZANA,MICHELE DELLA VEDOVA BR 67 VODNJAN DIGNANO,939,550,36,,,38,155,4 GALIZANA VODNJAN DIGNANO,Nema u 2020
39,BELISCE,11,GORICA VALPOVACKA,DOM,STJEPANA RADICA 44 BELISCE,115,67,3,,,23,17,11 GORICA VALPOVACKA BELISCE,Nema u 2020
40,GARESNICA,22,GORNJI ULJANIK,KUCA MARICE LEVANIC,GORNJI ULJANIK 23 GARESNICA,80,38,2,,,11,17,22 GORNJI ULJANIK GARESNICA,Nema u 2020
41,DUBROVACKO PRIMORJE,2,GRBLJAVA,KUCA GOSP LUKO PERUSINA,GRBLJAVA 15 DUBROVACKO PRIMORJE,50,23,2,,,14,5,2 GRBLJAVA DUBROVACKO PRIMORJE,Nema u 2020
42,GROZNJAN GRISIGNANA,1,GROZNJAN,SJEDISTE OPCINE GROZNJAN,UMBERTA GORJANA 3 GROZNJAN GROZNJAN GRISIGNANA,272,160,10,,,8,38,1 GROZNJAN GROZNJAN GRISIGNANA,Nema u 2020
43,DUBROVACKO PRIMORJE,17,IMOTICA,ZGRADA STRANJ EX SKOLA IMOTICA,IMOTICA BB DUBROVACKO PRIMORJE,78,48,6,,,16,15,17 IMOTICA DUBROVACKO PRIMORJE,Nema u 2020
44,IVANEC,7,IVANEC 7,PROSTORIJE BIVSE ZELJEZARE FZ,ULICA ZRTAVA HRVAT DOMOVIN RATOVA 16 A IVANEC,550,336,25,,,44,207,7 IVANEC 7 IVANEC,Nema u 2020
45,DONJA VOCA,8,JELOVEC VOCANSKI,KUCA BARICE HORVATIC,JELOVEC VOCANSKI 6 DONJA VOCA,166,57,2,,,7,39,8 JELOVEC VOCANSKI DONJA VOCA,Nema u 2020
46,IVANEC,14,JEROVEC,KUCA DRAGUTINA BREZOVEC,JEROVEC 96 IVANEC,354,220,19,,,80,79,14 JEROVEC IVANEC,Nema u 2020
47,IVANEC,15,JEROVEC,PROSTORIJE BIVSE MJESNE ZAJEDNICE,JEROVEC IVANEC,323,205,8,,,78,89,15 JEROVEC IVANEC,Nema u 2020
48,UMAG UMAGO,2,JURICANI,PODRUCNA SKOLA JURICANI,JURICANI 2 UMAG UMAGO,630,332,18,,,34,92,2 JURICANI UMAG UMAGO,Nema u 2020
49,BRTONIGLA VERTENEGLIO,4,KARIGADOR,ZGRADA OSNOVNE SKOLE KARIGADOR,KARIGADOR BB BRTONIGLA VERTENEGLIO,170,87,8,,,0,32,4 KARIGADOR BRTONIGLA VERTENEGLIO,Nema u 2020
50,BUJE BUIE,3,KASTEL,OSNOVNA SKOLA KASTEL,KASTEL BB BUJE BUIE,836,384,47,,,44,115,3 KASTEL BUJE BUIE,Nema u 2020
51,SVETA NEDELJA,3,KERESTINEC KALINOVICA ZITARKA,PODRUCNA SKOLA KERESTINEC,KERESTINEC MATE LOVRAKA 3 SVETA NEDELJA,1820,1153,187,,,337,436,3 KERESTINEC KALINOVICA ZITARKA SVETA NEDELJA,Nema u 2020
52,PREGRADA,4,KLENICE,KUCA ZIGER ZARKA,KLENICE 16 PREGRADA,72,45,4,,,8,30,4 KLENICE PREGRADA,Nema u 2020
53,KOSTRENA,2,KOSTRENA ZUKNICA,DJECJI VRTIC ZLATNA RIBICA,ZUKNICA 1A KOSTRENA,1157,712,90,,,197,286,2 KOSTRENA ZUKNICA KOSTRENA,Nema u 2020
54,DUGO SELO,14,KOZINSCAK,OBITELJSKA KUCA VL DUSAN ZIVKOVIC,KOZINSCAK ULICA TOME KAPITANA 6 DUGO SELO,1178,642,92,,,260,150,14 KOZINSCAK DUGO SELO,Nema u 2020
55,BUJE BUIE,4,KRASICA,DRUSTVENI DOM,KRASICA BB BUJE BUIE,120,79,2,,,1,21,4 KRASICA BUJE BUIE,Nema u 2020
