,Grad,Rbr BM,Naziv BM,Lokacija BM,Adresa BM,Ukupno birača,Glasovalo ukupno,MOST,HDZ,SDP,BM,Uzrok
0,"ZAGREB-CENTAR, ZAPAD",1,ANDRIJA MEDULIĆ,DRŽAVNA ŠKOLA ZA JAVNU UPRAVU,"MEDULIĆEVA ULICA 36, ZAGREB-CENTAR, ZAPAD",975,542,31,199,77,"1 ANDRIJA MEDULIĆ, ZAGREBCENTAR ZAPAD",Preostale BM koje kada bi se zbrojile su prevelike
1,"ZAGREB-CENTAR, ZAPAD",2,ANDRIJA MEDULIĆ,PROSTORIJE MJESNOG ODBORA,"MEDULIĆEVA ULICA 30, ZAGREB-CENTAR, ZAPAD",955,540,39,124,116,"2 ANDRIJA MEDULIĆ, ZAGREBCENTAR ZAPAD",Preostale BM koje kada bi se zbrojile su prevelike
2,"ZAGREB-CENTAR, ZAPAD",257,ANTUN MIHANOVIĆ,OŠ JULIJA KLOVIĆA,"NOVA CESTA 133, ZAGREB-CENTAR, ZAPAD",2368,1162,99,283,254,"128 ANTUN MIHANOVIĆ, ZAGREBCENTAR ZAPAD129 ANTUN MIHANOVIĆ, ZAGREBCENTAR ZAPAD",Preostale BM koje kada bi se zbrojile su prevelike
3,POŽEGA,3,ARSLANOVCI III PRIVATNA KUĆA LADE CIGANOVIĆ,POŽEGA,"VRANDUK 3, POŽEGA",397,179,21,83,27,"3 ARSLANOVCI III PRIVATNA KUĆA LADE CIGANOVIĆ, POŽEGA",Nema u 2016/2015
4,UMAG - UMAGO,1,BABIĆIBABICI,DRUŠTVENI DOM BABIĆI,"BABIĆI BB, UMAG - UMAGO",820,280,5,39,140,"1 BABIĆIBABICI, UMAG  UMAGO",Nema u 2016/2015
5,MEDULIN,3,BANJOLE  BIRAČKO MJESTO BR 3,DRUŠTVENI DOM,"ČIMULJE 24, MEDULIN",951,511,23,114,239,"3 BANJOLE  BIRAČKO MJESTO BR 3, MEDULIN",Nema u 2016/2015
6,UMAG - UMAGO,5,BAŠANIJABASSANIA,DRUŠTVENI DOM BAŠANIJA,"BAŠANIJA BB, UMAG - UMAGO",1074,322,10,58,171,"5 BAŠANIJABASSANIA, UMAG  UMAGO",Nema u 2016/2015
7,BAŠKA VODA,2,BAŠKA VODA,ZGRADA LUKE,"OBALA SV. NIKOLE 2, BAŠKA VODA",889,458,47,195,77,"2 BAŠKA VODA, BAŠKA VODA",Preostale BM koje kada bi se zbrojile su prevelike
8,BAŠKA VODA,1,BAŠKA VODA,ZGRADA OPĆINE,"OBALA SV.NIKOLE 65, BAŠKA VODA",1130,589,49,254,145,"1 BAŠKA VODA, BAŠKA VODA",Preostale BM koje kada bi se zbrojile su prevelike
9,BEDEKOVČINA,5,BEDEKOVČINA,STARA ŠKOLA KOD GRGIĆA,"BEDEKOVČINA, STJEPANA RADIĆA 78, BEDEKOVČINA",556,216,4,62,110,"5 BEDEKOVČINA, BEDEKOVČINA",Preostale BM koje kada bi se zbrojile su prevelike
10,BEDEKOVČINA,6,BEDEKOVČINA,VATROGASNI DOM BEDEKOVČINA,"STJEPANA RADIĆA 76A, BEDEKOVČINA",739,360,15,128,154,"6 BEDEKOVČINA, BEDEKOVČINA",Preostale BM koje kada bi se zbrojile su prevelike
11,BEDEKOVČINA,7,BEDEKOVČINA,ZGRADA OPĆINE DVORANA,"BEDEKOVČINA, TRG A. STARČEVIĆA 4, BEDEKOVČINA",921,400,13,84,207,"7 BEDEKOVČINA, BEDEKOVČINA",Preostale BM koje kada bi se zbrojile su prevelike
12,BELI MANASTIR,4,BELI MANASTIR,CENTAR ZA KULTURU GRADA BELOG MANASTIRA,"KRALJA TOMISLAVA 2, BELI MANASTIR",591,200,7,80,49,"4 BELI MANASTIR, BELI MANASTIR",Preostale BM koje kada bi se zbrojile su prevelike
